"ligand","receptor","pathway","sender","receiver","condition","lig_expr","rec_expr","lr_score"
"VEGFA","KDR","VEGF","Endothelial","Endothelial","Healing",0.0629862048360892,0.657741899471512,0.0414286660093911
"VEGFA","KDR","VEGF","Endothelial","Lymphatic_Endo","Healing",0.0629862048360892,0.748117725046655,0.0471210962712977
"VEGFA","KDR","VEGF","Fibroblast","Endothelial","Healing",0.276379611979161,0.657741899471512,0.181786450958373
"VEGFA","KDR","VEGF","Fibroblast","Lymphatic_Endo","Healing",0.276379611979161,0.748117725046655,0.206764486563128
"VEGFA","KDR","VEGF","Keratinocyte","Endothelial","Healing",0.253653708670375,0.657741899471512,0.166838672148846
"VEGFA","KDR","VEGF","Keratinocyte","Lymphatic_Endo","Healing",0.253653708670375,0.748117725046655,0.189762835480128
"VEGFA","KDR","VEGF","Lymphatic_Endo","Endothelial","Healing",0.109045244686623,0.657741899471512,0.0717236263685155
"VEGFA","KDR","VEGF","Lymphatic_Endo","Lymphatic_Endo","Healing",0.109045244686623,0.748117725046655,0.0815786803821126
"VEGFA","KDR","VEGF","Macrophage","Endothelial","Healing",0.635357016151131,0.657741899471512,0.417900930645797
"VEGFA","KDR","VEGF","Macrophage","Keratinocyte","Healing",0.635357016151131,0.0237293455363372,0.0150766061751863
"VEGFA","KDR","VEGF","Macrophage","Lymphatic_Endo","Healing",0.635357016151131,0.748117725046655,0.475321845515415
"VEGFA","KDR","VEGF","Mast_cell","Endothelial","Healing",0.0495852694828711,0.657741899471512,0.0326143093354704
"VEGFA","KDR","VEGF","Mast_cell","Lymphatic_Endo","Healing",0.0495852694828711,0.748117725046655,0.0370956190013509
"VEGFA","KDR","VEGF","Melanocyte","Endothelial","Healing",0.0660378005945138,0.657741899471512,0.0434358283999565
"VEGFA","KDR","VEGF","Melanocyte","Lymphatic_Endo","Healing",0.0660378005945138,0.748117725046655,0.0494040491478524
"VEGFA","KDR","VEGF","Myeloid","Endothelial","Healing",1.07505586561609,0.657741899471512,0.707109287088316
"VEGFA","KDR","VEGF","Myeloid","Keratinocyte","Healing",1.07505586561609,0.0237293455363372,0.0255103721060702
"VEGFA","KDR","VEGF","Myeloid","Lymphatic_Endo","Healing",1.07505586561609,0.748117725046655,0.80426834848277
"VEGFA","KDR","VEGF","Pericyte","Endothelial","Healing",0.11903787968381,0.657741899471512,0.0782962010922907
"VEGFA","KDR","VEGF","Pericyte","Lymphatic_Endo","Healing",0.11903787968381,0.748117725046655,0.0890543477434297
"VEGFA","KDR","VEGF","Smooth_Muscle","Endothelial","Healing",0.138032503053009,0.657741899471512,0.0907897607468938
"VEGFA","KDR","VEGF","Smooth_Muscle","Lymphatic_Endo","Healing",0.138032503053009,0.748117725046655,0.103264562166513
"VEGFA","KDR","VEGF","T_cell","Endothelial","Healing",0.0282142196235248,0.657741899471512,0.0185576744072836
"VEGFA","KDR","VEGF","T_cell","Lymphatic_Endo","Healing",0.0282142196235248,0.748117725046655,0.0211075577987181
"VEGFA","KDR","VEGF","Endothelial","Endothelial","NonHealing",0.0313204784166431,0.531535005005606,0.0166479306519684
"VEGFA","KDR","VEGF","Endothelial","Lymphatic_Endo","NonHealing",0.0313204784166431,0.872709331568717,0.0273336737834011
"VEGFA","KDR","VEGF","Fibroblast","Endothelial","NonHealing",0.195470446940338,0.531535005005606,0.10389938499288
"VEGFA","KDR","VEGF","Fibroblast","Lymphatic_Endo","NonHealing",0.195470446940338,0.872709331568717,0.17058888309074
"VEGFA","KDR","VEGF","Keratinocyte","Endothelial","NonHealing",0.0986578043047096,0.531535005005606,0.052440076504946
"VEGFA","KDR","VEGF","Keratinocyte","Lymphatic_Endo","NonHealing",0.0986578043047096,0.872709331568717,0.0860995864488004
"VEGFA","KDR","VEGF","Lymphatic_Endo","Endothelial","NonHealing",0.0365633314411419,0.531535005005606,0.019434690560589
"VEGFA","KDR","VEGF","Lymphatic_Endo","Lymphatic_Endo","NonHealing",0.0365633314411419,0.872709331568717,0.0319091605419244
"VEGFA","KDR","VEGF","Macrophage","Endothelial","NonHealing",0.343253829980595,0.531535005005606,0.182451426236929
"VEGFA","KDR","VEGF","Macrophage","Lymphatic_Endo","NonHealing",0.343253829980595,0.872709331568717,0.299560820520767
"VEGFA","KDR","VEGF","Macrophage","Smooth_Muscle","NonHealing",0.343253829980595,0.0425362507193617,0.0146007309724357
"VEGFA","KDR","VEGF","Mast_cell","Endothelial","NonHealing",0.101524931287581,0.531535005005606,0.0539640548601381
"VEGFA","KDR","VEGF","Mast_cell","Lymphatic_Endo","NonHealing",0.101524931287581,0.872709331568717,0.0886017549215445
"VEGFA","KDR","VEGF","Melanocyte","Endothelial","NonHealing",0.0205258621010344,0.531535005005606,0.0109102142146177
"VEGFA","KDR","VEGF","Melanocyte","Lymphatic_Endo","NonHealing",0.0205258621010344,0.872709331568717,0.0179131113940654
"VEGFA","KDR","VEGF","Myeloid","Endothelial","NonHealing",0.723908416186705,0.531535005005606,0.384782663621401
"VEGFA","KDR","VEGF","Myeloid","Lymphatic_Endo","NonHealing",0.723908416186705,0.872709331568717,0.631761630007268
"VEGFA","KDR","VEGF","Myeloid","Smooth_Muscle","NonHealing",0.723908416186705,0.0425362507193617,0.0307923498887737
"VEGFA","KDR","VEGF","Pericyte","Endothelial","NonHealing",0.121415977283261,0.531535005005606,0.0645368420930185
"VEGFA","KDR","VEGF","Pericyte","Lymphatic_Endo","NonHealing",0.121415977283261,0.872709331568717,0.105960856376637
"VEGFA","KDR","VEGF","Smooth_Muscle","Endothelial","NonHealing",0.237466550673259,0.531535005005606,0.126221784200775
"VEGFA","KDR","VEGF","Smooth_Muscle","Lymphatic_Endo","NonHealing",0.237466550673259,0.872709331568717,0.207239274707989
"VEGFA","KDR","VEGF","Smooth_Muscle","Smooth_Muscle","NonHealing",0.237466550673259,0.0425362507193617,0.0101009367368997
"VEGFA","KDR","VEGF","T_cell","Endothelial","NonHealing",0.0271498714260876,0.531535005005606,0.0144311070443671
"VEGFA","KDR","VEGF","T_cell","Lymphatic_Endo","NonHealing",0.0271498714260876,0.872709331568717,0.0236939461444375
"TNF","TNFRSF1A","TNF","Fibroblast","Endothelial","Healing",0.0268043267141897,0.6134094702386,0.0164420278498535
"TNF","TNFRSF1A","TNF","Fibroblast","Fibroblast","Healing",0.0268043267141897,0.767713532486004,0.0205780443476596
"TNF","TNFRSF1A","TNF","Fibroblast","Keratinocyte","Healing",0.0268043267141897,0.456510751726301,0.0122364633378121
"TNF","TNFRSF1A","TNF","Fibroblast","Lymphatic_Endo","Healing",0.0268043267141897,0.458425708951417,0.0122877924769178
"TNF","TNFRSF1A","TNF","Fibroblast","Macrophage","Healing",0.0268043267141897,0.605294322539974,0.0162245067796056
"TNF","TNFRSF1A","TNF","Fibroblast","Melanocyte","Healing",0.0268043267141897,0.434469438566094,0.0116456607786562
"TNF","TNFRSF1A","TNF","Fibroblast","Myeloid","Healing",0.0268043267141897,0.38148839996311,0.0102255397102847
"TNF","TNFRSF1A","TNF","Fibroblast","Pericyte","Healing",0.0268043267141897,0.841674886511401,0.0225605286451802
"TNF","TNFRSF1A","TNF","Fibroblast","Smooth_Muscle","Healing",0.0268043267141897,0.65475638140214,0.0175503039653036
"TNF","TNFRSF1A","TNF","Keratinocyte","Endothelial","Healing",0.0612372856565121,0.6134094702386,0.037563530953411
"TNF","TNFRSF1A","TNF","Keratinocyte","Fibroblast","Healing",0.0612372856565121,0.767713532486004,0.0470126928912154
"TNF","TNFRSF1A","TNF","Keratinocyte","Keratinocyte","Healing",0.0612372856565121,0.456510751726301,0.0279554793087326
"TNF","TNFRSF1A","TNF","Keratinocyte","Lymphatic_Endo","Healing",0.0612372856565121,0.458425708951417,0.028072746091347
"TNF","TNFRSF1A","TNF","Keratinocyte","Macrophage","Healing",0.0612372856565121,0.605294322539974,0.0370665813356454
"TNF","TNFRSF1A","TNF","Keratinocyte","Melanocyte","Healing",0.0612372856565121,0.434469438566094,0.0266057291184964
"TNF","TNFRSF1A","TNF","Keratinocyte","Myeloid","Healing",0.0612372856565121,0.38148839996311,0.0233613141231868
"TNF","TNFRSF1A","TNF","Keratinocyte","Pericyte","Healing",0.0612372856565121,0.841674886511401,0.0515418854552111
"TNF","TNFRSF1A","TNF","Keratinocyte","Smooth_Muscle","Healing",0.0612372856565121,0.65475638140214,0.0400955035633471
"TNF","TNFRSF1A","TNF","Lymphatic_Endo","Fibroblast","Healing",0.0150678962922582,0.767713532486004,0.0115678278896623
"TNF","TNFRSF1A","TNF","Lymphatic_Endo","Pericyte","Healing",0.0150678962922582,0.841674886511401,0.012682269901752
"TNF","TNFRSF1A","TNF","Macrophage","Endothelial","Healing",0.312537312549146,0.6134094702386,0.191713347320568
"TNF","TNFRSF1A","TNF","Macrophage","Fibroblast","Healing",0.312537312549146,0.767713532486004,0.239939124250787
"TNF","TNFRSF1A","TNF","Macrophage","Keratinocyte","Healing",0.312537312549146,0.456510751726301,0.142676643494329
"TNF","TNFRSF1A","TNF","Macrophage","Lymphatic_Endo","Healing",0.312537312549146,0.458425708951417,0.143275139079113
"TNF","TNFRSF1A","TNF","Macrophage","Macrophage","Healing",0.312537312549146,0.605294322539974,0.1891770608679
"TNF","TNFRSF1A","TNF","Macrophage","Mast_cell","Healing",0.312537312549146,0.0438484964429372,0.0137042912375964
"TNF","TNFRSF1A","TNF","Macrophage","Melanocyte","Healing",0.312537312549146,0.434469438566094,0.135787910714184
"TNF","TNFRSF1A","TNF","Macrophage","Myeloid","Healing",0.312537312549146,0.38148839996311,0.119229359293144
"TNF","TNFRSF1A","TNF","Macrophage","Pericyte","Healing",0.312537312549146,0.841674886511401,0.263054807070381
"TNF","TNFRSF1A","TNF","Macrophage","Smooth_Muscle","Healing",0.312537312549146,0.65475638140214,0.204635799817829
"TNF","TNFRSF1A","TNF","Macrophage","T_cell","Healing",0.312537312549146,0.123355657584157,0.0385532457090851
"TNF","TNFRSF1A","TNF","Mast_cell","Endothelial","Healing",0.274247287581462,0.6134094702386,0.168225883389718
"TNF","TNFRSF1A","TNF","Mast_cell","Fibroblast","Healing",0.274247287581462,0.767713532486004,0.210543353923869
"TNF","TNFRSF1A","TNF","Mast_cell","Keratinocyte","Healing",0.274247287581462,0.456510751726301,0.125196835412712
"TNF","TNFRSF1A","TNF","Mast_cell","Lymphatic_Endo","Healing",0.274247287581462,0.458425708951417,0.125722007237535
"TNF","TNFRSF1A","TNF","Mast_cell","Macrophage","Healing",0.274247287581462,0.605294322539974,0.166000326145047
"TNF","TNFRSF1A","TNF","Mast_cell","Mast_cell","Healing",0.274247287581462,0.0438484964429372,0.0120253312140009
"TNF","TNFRSF1A","TNF","Mast_cell","Melanocyte","Healing",0.274247287581462,0.434469438566094,0.119152065063792
"TNF","TNFRSF1A","TNF","Mast_cell","Myeloid","Healing",0.274247287581462,0.38148839996311,0.104622158933675
"TNF","TNFRSF1A","TNF","Mast_cell","Pericyte","Healing",0.274247287581462,0.841674886511401,0.230827054651187
"TNF","TNFRSF1A","TNF","Mast_cell","Smooth_Muscle","Healing",0.274247287581462,0.65475638140214,0.17956516162619
"TNF","TNFRSF1A","TNF","Mast_cell","T_cell","Healing",0.274247287581462,0.123355657584157,0.0338299545002826
"TNF","TNFRSF1A","TNF","Myeloid","Endothelial","Healing",0.496866068136039,0.6134094702386,0.304782351634864
"TNF","TNFRSF1A","TNF","Myeloid","Fibroblast","Healing",0.496866068136039,0.767713532486004,0.38145080434115
"TNF","TNFRSF1A","TNF","Myeloid","Keratinocyte","Healing",0.496866068136039,0.456510751726301,0.226824702272075
"TNF","TNFRSF1A","TNF","Myeloid","Lymphatic_Endo","Healing",0.496866068136039,0.458425708951417,0.227776179539167
"TNF","TNFRSF1A","TNF","Myeloid","Macrophage","Healing",0.496866068136039,0.605294322539974,0.300750210105505
"TNF","TNFRSF1A","TNF","Myeloid","Mast_cell","Healing",0.496866068136039,0.0438484964429372,0.0217868300212793
"TNF","TNFRSF1A","TNF","Myeloid","Melanocyte","Healing",0.496866068136039,0.434469438566094,0.215873121665608
"TNF","TNFRSF1A","TNF","Myeloid","Myeloid","Healing",0.496866068136039,0.38148839996311,0.189548641329179
"TNF","TNFRSF1A","TNF","Myeloid","Pericyte","Healing",0.496866068136039,0.841674886511401,0.418199691509767
"TNF","TNFRSF1A","TNF","Myeloid","Smooth_Muscle","Healing",0.496866068136039,0.65475638140214,0.325326228814262
"TNF","TNFRSF1A","TNF","Myeloid","T_cell","Healing",0.496866068136039,0.123355657584157,0.0612912405661756
"TNF","TNFRSF1A","TNF","Pericyte","Endothelial","Healing",0.0575888786512193,0.6134094702386,0.0353255635450795
"TNF","TNFRSF1A","TNF","Pericyte","Fibroblast","Healing",0.0575888786512193,0.767713532486004,0.0442117614612354
"TNF","TNFRSF1A","TNF","Pericyte","Keratinocyte","Healing",0.0575888786512193,0.456510751726301,0.0262899422841429
"TNF","TNFRSF1A","TNF","Pericyte","Lymphatic_Endo","Healing",0.0575888786512193,0.458425708951417,0.0264002225234023
"TNF","TNFRSF1A","TNF","Pericyte","Macrophage","Healing",0.0575888786512193,0.605294322539974,0.0348582212890266
"TNF","TNFRSF1A","TNF","Pericyte","Melanocyte","Healing",0.0575888786512193,0.434469438566094,0.0250206077752462
"TNF","TNFRSF1A","TNF","Pericyte","Myeloid","Healing",0.0575888786512193,0.38148839996311,0.0219694891723234
"TNF","TNFRSF1A","TNF","Pericyte","Pericyte","Healing",0.0575888786512193,0.841674886511401,0.0484711129030839
"TNF","TNFRSF1A","TNF","Pericyte","Smooth_Muscle","Healing",0.0575888786512193,0.65475638140214,0.0377066857946793
"TNF","TNFRSF1A","TNF","Smooth_Muscle","Endothelial","Healing",0.019404543377977,0.6134094702386,0.0119029306737068
"TNF","TNFRSF1A","TNF","Smooth_Muscle","Fibroblast","Healing",0.019404543377977,0.767713532486004,0.0148971305429846
"TNF","TNFRSF1A","TNF","Smooth_Muscle","Macrophage","Healing",0.019404543377977,0.605294322539974,0.0117454599381701
"TNF","TNFRSF1A","TNF","Smooth_Muscle","Pericyte","Healing",0.019404543377977,0.841674886511401,0.0163323168454644
"TNF","TNFRSF1A","TNF","Smooth_Muscle","Smooth_Muscle","Healing",0.019404543377977,0.65475638140214,0.0127052486049251
"TNF","TNFRSF1A","TNF","T_cell","Endothelial","Healing",0.52212231145699,0.6134094702386,0.320274770470586
"TNF","TNFRSF1A","TNF","T_cell","Fibroblast","Healing",0.52212231145699,0.767713532486004,0.400840364118404
"TNF","TNFRSF1A","TNF","T_cell","Keratinocyte","Healing",0.52212231145699,0.456510751726301,0.238354448896305
"TNF","TNFRSF1A","TNF","T_cell","Lymphatic_Endo","Healing",0.52212231145699,0.458425708951417,0.239354290789024
"TNF","TNFRSF1A","TNF","T_cell","Macrophage","Healing",0.52212231145699,0.605294322539974,0.316037670796365
"TNF","TNFRSF1A","TNF","T_cell","Mast_cell","Healing",0.52212231145699,0.0438484964429372,0.0228942783167
"TNF","TNFRSF1A","TNF","T_cell","Melanocyte","Healing",0.52212231145699,0.434469438566094,0.22684618752155
"TNF","TNFRSF1A","TNF","T_cell","Myeloid","Healing",0.52212231145699,0.38148839996311,0.199183605182768
"TNF","TNFRSF1A","TNF","T_cell","Pericyte","Healing",0.52212231145699,0.841674886511401,0.439457237240633
"TNF","TNFRSF1A","TNF","T_cell","Smooth_Muscle","Healing",0.52212231145699,0.65475638140214,0.3418629152989
"TNF","TNFRSF1A","TNF","T_cell","T_cell","Healing",0.52212231145699,0.123355657584157,0.064406741069137
"TNF","TNFRSF1A","TNF","Fibroblast","Macrophage","NonHealing",0.0121308155059534,0.87448561519379,0.0106082236605261
"TNF","TNFRSF1A","TNF","Keratinocyte","Endothelial","NonHealing",0.0310497542786066,0.614985818526573,0.0190951585500778
"TNF","TNFRSF1A","TNF","Keratinocyte","Fibroblast","NonHealing",0.0310497542786066,0.779492703989851,0.0242030569208515
"TNF","TNFRSF1A","TNF","Keratinocyte","Keratinocyte","NonHealing",0.0310497542786066,0.450069470785479,0.0139745464761916
"TNF","TNFRSF1A","TNF","Keratinocyte","Lymphatic_Endo","NonHealing",0.0310497542786066,0.455946766959213,0.0141570350782087
"TNF","TNFRSF1A","TNF","Keratinocyte","Macrophage","NonHealing",0.0310497542786066,0.87448561519379,0.0271525634719433
"TNF","TNFRSF1A","TNF","Keratinocyte","Myeloid","NonHealing",0.0310497542786066,0.335273377515178,0.0104101559880048
"TNF","TNFRSF1A","TNF","Keratinocyte","Pericyte","NonHealing",0.0310497542786066,0.771542906314118,0.0239562176564553
"TNF","TNFRSF1A","TNF","Keratinocyte","Smooth_Muscle","NonHealing",0.0310497542786066,0.4203765301254,0.0130525879648869
"TNF","TNFRSF1A","TNF","Macrophage","Endothelial","NonHealing",0.267994012616344,0.614985818526573,0.164812517209083
"TNF","TNFRSF1A","TNF","Macrophage","Fibroblast","NonHealing",0.267994012616344,0.779492703989851,0.208899377547404
"TNF","TNFRSF1A","TNF","Macrophage","Keratinocyte","NonHealing",0.267994012616344,0.450069470785479,0.120615923431915
"TNF","TNFRSF1A","TNF","Macrophage","Lymphatic_Endo","NonHealing",0.267994012616344,0.455946766959213,0.122191003616849
"TNF","TNFRSF1A","TNF","Macrophage","Macrophage","NonHealing",0.267994012616344,0.87448561519379,0.234356908991056
"TNF","TNFRSF1A","TNF","Macrophage","Mast_cell","NonHealing",0.267994012616344,0.0412541736505644,0.0110558715337862
"TNF","TNFRSF1A","TNF","Macrophage","Melanocyte","NonHealing",0.267994012616344,0.253560945785351,0.0679528153038116
"TNF","TNFRSF1A","TNF","Macrophage","Myeloid","NonHealing",0.267994012616344,0.335273377515178,0.0898512577637271
"TNF","TNFRSF1A","TNF","Macrophage","Pericyte","NonHealing",0.267994012616344,0.771542906314118,0.206768879368797
"TNF","TNFRSF1A","TNF","Macrophage","Smooth_Muscle","NonHealing",0.267994012616344,0.4203765301254,0.112658393118041
"TNF","TNFRSF1A","TNF","Macrophage","T_cell","NonHealing",0.267994012616344,0.124358729881558,0.0333273950248309
"TNF","TNFRSF1A","TNF","Mast_cell","Endothelial","NonHealing",0.243587460067704,0.614985818526573,0.149802833512546
"TNF","TNFRSF1A","TNF","Mast_cell","Fibroblast","NonHealing",0.243587460067704,0.779492703989851,0.189874647906195
"TNF","TNFRSF1A","TNF","Mast_cell","Keratinocyte","NonHealing",0.243587460067704,0.450069470785479,0.109631279242651
"TNF","TNFRSF1A","TNF","Mast_cell","Lymphatic_Endo","NonHealing",0.243587460067704,0.455946766959213,0.111062914889676
"TNF","TNFRSF1A","TNF","Mast_cell","Macrophage","NonHealing",0.243587460067704,0.87448561519379,0.213013729870799
"TNF","TNFRSF1A","TNF","Mast_cell","Mast_cell","NonHealing",0.243587460067704,0.0412541736505644,0.010048999376733
"TNF","TNFRSF1A","TNF","Mast_cell","Melanocyte","NonHealing",0.243587460067704,0.253560945785351,0.0617642667562185
"TNF","TNFRSF1A","TNF","Mast_cell","Myeloid","NonHealing",0.243587460067704,0.335273377515178,0.0816683904572429
"TNF","TNFRSF1A","TNF","Mast_cell","Pericyte","NonHealing",0.243587460067704,0.771542906314118,0.187938176882311
"TNF","TNFRSF1A","TNF","Mast_cell","Smooth_Muscle","NonHealing",0.243587460067704,0.4203765301254,0.102398451245321
"TNF","TNFRSF1A","TNF","Mast_cell","T_cell","NonHealing",0.243587460067704,0.124358729881558,0.0302922271490945
"TNF","TNFRSF1A","TNF","Myeloid","Endothelial","NonHealing",0.486781658619582,0.614985818526573,0.299363816769887
"TNF","TNFRSF1A","TNF","Myeloid","Fibroblast","NonHealing",0.486781658619582,0.779492703989851,0.379442751330043
"TNF","TNFRSF1A","TNF","Myeloid","Keratinocyte","NonHealing",0.486781658619582,0.450069470785479,0.219085563482993
"TNF","TNFRSF1A","TNF","Myeloid","Lymphatic_Endo","NonHealing",0.486781658619582,0.455946766959213,0.221946523462642
"TNF","TNFRSF1A","TNF","Myeloid","Macrophage","NonHealing",0.486781658619582,0.87448561519379,0.425683558202999
"TNF","TNFRSF1A","TNF","Myeloid","Mast_cell","NonHealing",0.486781658619582,0.0412541736505644,0.020081775074602
"TNF","TNFRSF1A","TNF","Myeloid","Melanocyte","NonHealing",0.486781658619582,0.253560945785351,0.123428817750543
"TNF","TNFRSF1A","TNF","Myeloid","Myeloid","NonHealing",0.486781658619582,0.335273377515178,0.163204930797828
"TNF","TNFRSF1A","TNF","Myeloid","Pericyte","NonHealing",0.486781658619582,0.771542906314118,0.375572935631759
"TNF","TNFRSF1A","TNF","Myeloid","Smooth_Muscle","NonHealing",0.486781658619582,0.4203765301254,0.204631584579187
"TNF","TNFRSF1A","TNF","Myeloid","T_cell","NonHealing",0.486781658619582,0.124358729881558,0.0605355487955696
"TNF","TNFRSF1A","TNF","Pericyte","Endothelial","NonHealing",0.0598800379945221,0.614985818526573,0.0368253741794634
"TNF","TNFRSF1A","TNF","Pericyte","Fibroblast","NonHealing",0.0598800379945221,0.779492703989851,0.046676052731365
"TNF","TNFRSF1A","TNF","Pericyte","Keratinocyte","NonHealing",0.0598800379945221,0.450069470785479,0.0269501770108089
"TNF","TNFRSF1A","TNF","Pericyte","Lymphatic_Endo","NonHealing",0.0598800379945221,0.455946766959213,0.0273021097289972
"TNF","TNFRSF1A","TNF","Pericyte","Macrophage","NonHealing",0.0598800379945221,0.87448561519379,0.0523642318634671
"TNF","TNFRSF1A","TNF","Pericyte","Melanocyte","NonHealing",0.0598800379945221,0.253560945785351,0.0151832390675538
"TNF","TNFRSF1A","TNF","Pericyte","Myeloid","NonHealing",0.0598800379945221,0.335273377515178,0.0200761825841606
"TNF","TNFRSF1A","TNF","Pericyte","Pericyte","NonHealing",0.0598800379945221,0.771542906314118,0.0462000185444934
"TNF","TNFRSF1A","TNF","Pericyte","Smooth_Muscle","NonHealing",0.0598800379945221,0.4203765301254,0.0251721625959143
"TNF","TNFRSF1A","TNF","Smooth_Muscle","Macrophage","NonHealing",0.0127516794051614,0.87448561519379,0.0111511602093766
"TNF","TNFRSF1A","TNF","T_cell","Endothelial","NonHealing",0.703597343286141,0.614985818526573,0.432702388073949
"TNF","TNFRSF1A","TNF","T_cell","Fibroblast","NonHealing",0.703597343286141,0.779492703989851,0.548448995638189
