"seurat_clusters","Keratinocyte_score1","Fibroblast_score1","Endothelial_score1","Macrophage_score1","T_cell_score1","B_cell_score1","Neutrophil_score1","Mast_cell_score1","Pericyte_SMC_score1","Melanocyte_score1","DC_score1","Lymphatic_Endo_score1","NK_cell_score1","n_cells"
"0",-0.381549537090755,2.60422970330161,-0.201908865318894,-0.0781813280121466,-0.0951034079436168,-0.0174559107143461,-0.159514307663396,-0.045678267828613,-0.545433489795774,-0.0221819682679546,-0.0397132435410974,-0.0265435924290929,-0.0408611272681138,8348
"1",-0.373955978262223,2.03710153728911,-0.183144815961467,-0.0793606233372693,-0.0929321514857512,-0.0179306294781631,-0.154543200447545,-0.0387710618228569,-0.543320378760577,-0.0208745475312348,-0.0364513997963937,-0.0302441836480943,-0.0388832655238784,8255
"2",-0.380504455054848,0.885786059416756,-0.198467970541689,-0.10677898248333,-0.0953281083879352,-0.0159557190502302,-0.104431972052475,-0.0379825161755242,1.08014106195928,-0.0167593539775051,-0.0350711957111398,-0.022734835993242,-0.0408487189905632,7345
"3",-0.35549551697053,0.802416686688232,-0.178984487163776,-0.0912212162218255,-0.0823444710924331,-0.0127963526718179,-0.1097826617723,-0.025749633461709,0.70172062431518,-0.0149861022115472,-0.0296182880370487,-0.0242469218640801,-0.0340474374194225,6745
"4",-0.416885636681268,0.176583843410974,-0.189672467692637,-0.110450489850765,-0.0900527398109304,-0.0154289874288947,-0.140964278908757,-0.0360520142661539,1.46771365191664,-0.0167127479680464,-0.0323759346422818,-0.0245790985387537,-0.0396945446933129,5973
"5",-0.219948554049882,-0.0896259849395257,-0.126773410603348,-0.0811262196253549,0.999451551158499,-0.00214434911424123,-0.0369940649315469,-0.0206236717974877,-0.644510708354111,-0.0213576262312863,-0.0255714619128071,-0.0240277792060169,0.488728625946731,5782
"6",2.16314996004166,-0.607971096360625,-0.167426858018593,-0.129494978649259,-0.0920767078822369,-0.0228731440348703,0.552106827305996,-0.0531636669980816,-0.758922465562314,-0.015512077355573,-0.0462912940763283,-0.0419832511368018,-0.0478024589159359,4738
"7",-0.465306750114473,-0.0758133716420769,1.34913986317399,-0.105272687728177,-0.106811905886812,-0.0204244695080045,-0.130687528421948,-0.0452961889437982,-0.907851562113302,-0.0203065353295742,-0.0443614356288011,-0.00983149537494875,-0.0433907668236196,4042
"8",-0.440085646162928,-0.133738936235715,1.39522354287747,-0.150966647983277,-0.120080881691414,-0.0228937014773954,-0.14476184880389,-0.0435870998334995,-0.910447655482302,-0.0255500139695751,-0.0487061122637485,0.0063179708310252,-0.0410167620938131,3619
"9",-0.325423436502331,-0.0444221966457493,-0.0955818462806938,0.535053299083628,-0.00156695880349124,0.0278621962047866,0.465535923953302,-0.0359379310008027,-0.7173889403237,-0.0257203307965311,0.62005468011282,-0.0156247329339968,-0.0161880614638646,3288
"10",-0.305743316203774,2.66146085456099,-0.198211392854988,-0.107133890994787,-0.0950477417860223,-0.0190683294620889,-0.132274743052906,-0.0433798732680003,-0.519667987871037,-0.0177813695695323,-0.0396073289339168,-0.0271746421266291,-0.0450350761451613,3261
"11",1.56935278278511,-0.569773650175166,-0.176769648312511,-0.120610560148371,-0.08698388983847,-0.0175344583294555,0.190576263255541,-0.0429292351345677,-0.817691732918725,-0.0130408050250456,-0.0402885460763941,-0.0393204236573741,-0.0441405714805926,3237
"12",-0.297147461477186,-0.0812616971983624,-0.0825246547382478,1.86570473471748,-0.0586549421117758,-0.0178789487011385,0.303834072873334,-0.0383946227732328,-0.719442643471068,-0.0259914401757124,0.117351300222958,0.402443006593169,-0.0383385764501714,3029
"13",-0.123461823093213,-0.0151355397662422,-0.0893258197131503,-0.0350861187203127,0.101612022548736,0.415907899140189,0.0195620666994972,1.02491861642399,-0.532191509624346,-0.0156656647774112,0.136289213041228,-0.0251111577290872,0.0549859074473743,2678
"14",-0.33911501068862,2.32863002265257,-0.198814836281846,-0.0407926155638026,-0.0451402443016896,-0.0146121781900684,-0.0315522646568783,-0.0451098934056968,-0.598356967029089,-0.024009038026405,-0.0403915355622948,-0.028340074534107,-0.00454798992134831,2020
"15",0.956203909132154,-0.598849395046459,-0.180667178333402,-0.118120371437839,-0.0964821836950679,-0.0253918396022514,-0.0627959896960139,-0.0354141230483162,-0.598964450224092,-0.0273010077392278,-0.0469885308962197,-0.0417597973017778,-0.0496245664829947,1780
"16",1.03907404753942,0.16138427888938,-0.0900210449427069,-0.129054761837397,-0.0897386998420105,-0.0267735958423725,0.134357862793467,-0.0426237779067816,-0.594042018759316,-0.030718323400749,-0.0454248373580935,-0.0374096641551503,-0.046471242049739,1675
"17",-0.390022154528098,0.495134858390295,-0.210695943610493,-0.120752211552405,-0.09664888048146,-0.0155432306290818,-0.164646234823965,-0.0367215553352272,1.3380611961673,-0.0174762373707189,-0.0325851660754284,-0.026273344103952,-0.0408894040345972,1661
"18",1.22818097339939,-0.0724632885433048,-0.0655343618751312,-0.044850263327464,-0.0236412557884679,0.0494818589070157,0.313944981395062,0.00186505495052171,-0.430472935823968,-0.00866276860361371,-0.0183146162261758,-0.0188066852174774,-0.0152664879233658,1573
"19",-0.0906386210456376,0.715173569507652,-0.0989882965693928,-0.053880491960034,-0.0463086141479877,-0.00787363596555433,0.0108686207323544,0.00275254682054745,0.823936563310394,-0.00702594340642609,-0.0168163002235013,-0.0157504942164324,-0.0181811229969344,1236
"20",-0.11563703050588,0.22421741132141,0.719266360476723,-0.0561198299883553,-0.047254167650218,-0.00826750387276399,-0.0180099761914769,-0.0114577042430043,-0.595701296020148,-0.00846629190016742,-0.0188633871889549,0.00181224983013188,-0.0188609158754585,1170
"21",-0.0858085592751652,2.03268776409163,-0.0974243018020995,-0.0496459259131501,-0.048309187993481,-0.0107520243149466,-0.0229493276920369,0.00224558337928299,-0.293864570537977,-0.0114137996705683,-0.0232439168799518,-0.0154509856405556,-0.0221526048090413,1082
"22",-0.165596205614731,0.0864013414812992,-0.184385087928331,-0.107182613438675,-0.0992339539501402,-0.0279509475900592,-0.101097714918566,0.183897659052179,-0.794007590263382,1.86339197566976,-0.0379211726980458,-0.0291968396147643,-0.0436386708376035,937
"23",-0.404885011682762,1.34060594986116,-0.188083778364579,-0.120352381436375,-0.0985111723774244,-0.02087932680983,-0.169120569760799,-0.0323363962047285,-0.733336578160563,-0.024919738578595,-0.0368793245870858,-0.0188086098251994,-0.0457717457034903,894
"24",-0.408121924767588,-0.0454184091615017,0.84028807463771,-0.126550571208906,-0.10416894355796,-0.026656233106844,-0.146538683854121,-0.0562736716565875,-0.862223924263893,-0.0267940760447526,-0.0428802873054446,1.08529832210387,-0.042080420555632,892
"25",-0.174312266268358,2.86343044727135,-0.208543963194061,-0.0514407605523952,-0.096550833827793,-0.015953536051754,0.0823567651378717,-0.0438516108104071,-0.532174145376544,-0.0220231462482681,-0.0367870334762879,-0.0305654119802552,-0.0373069581551096,414
"26",1.43374718024686,0.75486642616658,-0.0678932689329856,-0.137336996759992,-0.104196881349479,-0.0231639220973954,0.269274791468492,-0.0534581009857492,-0.194705883198729,-0.0113623748844645,-0.0486365304234556,-0.041981739253964,-0.0517249710864367,294
"27",-0.357883170500176,-0.117784064659896,-0.196894068619011,-0.124125744305744,0.841654255423678,-0.0034437112417362,-0.0761449867874688,-0.0463465157822877,-0.789712415968478,-0.0416905662212664,-0.0415649221246671,-0.0465312124726129,0.64360705401538,107
"28",-0.419130079806846,0.97496991443817,-0.17772191059905,-0.0640891484525203,0.593687383466809,-0.0141614445141639,-0.146838307882101,-0.00687380822454733,0.12709039209902,-0.0250604359519402,-0.0331586622797539,-0.0198022980004554,0.238987452376959,62
